director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres,comb
John Milius,William Smith,Mako,Sandahl Bergman,conan the barbarian,Adventure Fantasy,William Smith Mako Sandahl Bergman John Milius Adventure Fantasy
Tom McCarthy,Billy Crudup,Jamey Sheridan,Brian d'Arcy James,spotlight,Biography Crime Drama History,Billy Crudup Jamey Sheridan Brian d'Arcy James Tom McCarthy Biography Crime Drama History
Neil LaBute,Jay Hernandez,Justin Chambers,Robert Pine,lakeview terrace,Crime Drama Thriller,Jay Hernandez Justin Chambers Robert Pine Neil LaBute Crime Drama Thriller
Takashi Shimizu,Sarah Michelle Gellar,Sarah Roemer,Matthew Knight,the grudge 2,Horror Thriller,Sarah Michelle Gellar Sarah Roemer Matthew Knight Takashi Shimizu Horror Thriller
Kevin Rodney Sullivan,Richard Lawson,James Pickens Jr.,Barry Shabaka Henley,how stella got her groove back,Comedy Drama Romance,Richard Lawson James Pickens Jr. Barry Shabaka Henley Kevin Rodney Sullivan Comedy Drama Romance
Peter Hewitt,Keanu Reeves,George Carlin,Alex Winter,bill & ted's bogus journey,Adventure Comedy Fantasy Music Sci-Fi,Keanu Reeves George Carlin Alex Winter Peter Hewitt Adventure Comedy Fantasy Music Sci-Fi
Barry Levinson,Robin Williams,Tina Fey,Amy Poehler,man of the year,Comedy Drama Romance Thriller,Robin Williams Tina Fey Amy Poehler Barry Levinson Comedy Drama Romance Thriller
Gary Nelson,Robert Forster,Maximilian Schell,Yvette Mimieux,the black hole,Action Sci-Fi,Robert Forster Maximilian Schell Yvette Mimieux Gary Nelson Action Sci-Fi
Anton Corbijn,Violante Placido,Thekla Reuten,Filippo Timi,the american,Crime Drama Thriller,Violante Placido Thekla Reuten Filippo Timi Anton Corbijn Crime Drama Thriller
Gregory Nava,Jon Seda,Constance Marie,Jacob Vargas,selena,Biography Drama Music,Jon Seda Constance Marie Jacob Vargas Gregory Nava Biography Drama Music
Jason Friedberg,Diedrich Bader,Dave Foley,Anneliese van der Pol,vampires suck,Comedy,Diedrich Bader Dave Foley Anneliese van der Pol Jason Friedberg Comedy
Alejandro G. Iñárritu,Brad Pitt,Harriet Walter,Dermot Crowley,babel,Drama,Brad Pitt Harriet Walter Dermot Crowley Alejandro G. Iñárritu Drama
Shawn Levy,Tina Fey,Abigail Spencer,Jane Fonda,this is where i leave you,Comedy Drama,Tina Fey Abigail Spencer Jane Fonda Shawn Levy Comedy Drama
John Patrick Shanley,Philip Seymour Hoffman,Meryl Streep,Carrie Preston,doubt,Drama Mystery,Philip Seymour Hoffman Meryl Streep Carrie Preston John Patrick Shanley Drama Mystery
Trey Parker,Jeremy Shada,Maurice LaMarche,Trey Parker,team america: world police,Action Comedy,Jeremy Shada Maurice LaMarche Trey Parker Trey Parker Action Comedy
John Luessenhop,Gunnar Hansen,Keram Malicki-Sánchez,Shaun Sipos,texas chainsaw 3d,Horror Thriller,Gunnar Hansen Keram Malicki-Sánchez Shaun Sipos John Luessenhop Horror Thriller
Jon Amiel,William McNamara,Holly Hunter,Harry Connick Jr.,copycat,Crime Drama Mystery Thriller,William McNamara Holly Hunter Harry Connick Jr. Jon Amiel Crime Drama Mystery Thriller
Malcolm D. Lee,Marisa Saks,Snoop Dogg,Molly Shannon,scary movie 5,Comedy,Marisa Saks Snoop Dogg Molly Shannon Malcolm D. Lee Comedy
Joshua Logan,Clint Eastwood,Lee Marvin,Ray Walston,paint your wagon,Comedy Drama Musical Romance Western,Clint Eastwood Lee Marvin Ray Walston Joshua Logan Comedy Drama Musical Romance Western
Gus Van Sant,James Franco,Denis O'Hare,Lucas Grabeel,milk,Biography Drama History,James Franco Denis O'Hare Lucas Grabeel Gus Van Sant Biography Drama History
Kevin Reynolds,Peter Firth,Jan Cornet,María Botto,risen,Action Adventure Drama Mystery,Peter Firth Jan Cornet María Botto Kevin Reynolds Action Adventure Drama Mystery
Steve Beck,Isaiah Washington,Ron Eldard,Francesca Rettondini,ghost ship,Horror,Isaiah Washington Ron Eldard Francesca Rettondini Steve Beck Horror
Todd Strauss-Schulson,Patton Oswalt,Thomas Lennon,Paula Garcés,a very harold & kumar 3d christmas,Adventure Comedy,Patton Oswalt Thomas Lennon Paula Garcés Todd Strauss-Schulson Adventure Comedy
John McNaughton,Bill Murray,Robert Wagner,Jeff Perry,wild things,Crime Drama Mystery Thriller,Bill Murray Robert Wagner Jeff Perry John McNaughton Crime Drama Mystery Thriller
Nelson McCormick,Sela Ward,Paige Turco,Skyler Samuels,the stepfather,Crime Thriller,Sela Ward Paige Turco Skyler Samuels Nelson McCormick Crime Thriller
John Madden,Tom Wilkinson,Jesper Christensen,Romi Aboulafia,the debt,Drama Thriller,Tom Wilkinson Jesper Christensen Romi Aboulafia John Madden Drama Thriller
Stephen Frears,Drake Bell,Lili Taylor,Lisa Bonet,high fidelity,Comedy Drama Music Romance,Drake Bell Lili Taylor Lisa Bonet Stephen Frears Comedy Drama Music Romance
Eric Valette,Johnny Lewis,Jason Beghe,Margaret Cho,one missed call,Horror Mystery,Johnny Lewis Jason Beghe Margaret Cho Eric Valette Horror Mystery
John Schlesinger,Joe Mantegna,Beverly D'Angelo,Philip Baker Hall,eye for an eye,Crime Drama Thriller,Joe Mantegna Beverly D'Angelo Philip Baker Hall John Schlesinger Crime Drama Thriller
Roger Donaldson,Jason Statham,Saffron Burrows,Daniel Mays,the bank job,Crime Drama Romance Thriller,Jason Statham Saffron Burrows Daniel Mays Roger Donaldson Crime Drama Romance Thriller
Michel Gondry,Kate Winslet,Kirsten Dunst,Tom Wilkinson,eternal sunshine of the spotless mind,Drama Fantasy Romance Sci-Fi,Kate Winslet Kirsten Dunst Tom Wilkinson Michel Gondry Drama Fantasy Romance Sci-Fi
Andy Fickman,Jamie Lee Curtis,James Wolk,Christine Lakin,you again,Comedy Family Romance,Jamie Lee Curtis James Wolk Christine Lakin Andy Fickman Comedy Family Romance
David Ayer,Keanu Reeves,Chris Evans,Noel Gugliemi,street kings,Action Crime Drama Thriller,Keanu Reeves Chris Evans Noel Gugliemi David Ayer Action Crime Drama Thriller
Edgar Wright,Michael Smiley,Thomas Law,Jasper Levine,the world's end,Action Comedy Sci-Fi,Michael Smiley Thomas Law Jasper Levine Edgar Wright Action Comedy Sci-Fi
Andrew Fleming,Kay Panabaker,Laura Harring,Tate Donovan,nancy drew,Comedy Crime Family Mystery Romance Thriller,Kay Panabaker Laura Harring Tate Donovan Andrew Fleming Comedy Crime Family Mystery Romance Thriller
Michael Spierig,Jay Laga'aia,Damien Garvey,Tiffany Lamb,daybreakers,Action Horror Sci-Fi Thriller,Jay Laga'aia Damien Garvey Tiffany Lamb Michael Spierig Action Horror Sci-Fi Thriller
Jim Field Smith,Mike Vogel,Kim Shaw,Geoff Stults,she's out of my league,Comedy Romance,Mike Vogel Kim Shaw Geoff Stults Jim Field Smith Comedy Romance
Thomas Bezucha,Leighton Meester,Luke Bracey,Brett Cullen,monte carlo,Adventure Comedy Family Romance,Leighton Meester Luke Bracey Brett Cullen Thomas Bezucha Adventure Comedy Family Romance
William Brent Bell,Adam Goldberg,Frankie Muniz,Samaire Armstrong,stay alive,Horror Thriller,Adam Goldberg Frankie Muniz Samaire Armstrong William Brent Bell Horror Thriller
Simon Wincer,Alan Rickman,Tom Selleck,Ben Mendelsohn,quigley down under,Action Adventure Drama Romance Western,Alan Rickman Tom Selleck Ben Mendelsohn Simon Wincer Action Adventure Drama Romance Western
Anthony Bell,Kevin Sussman,Larry Miller,Christine Lakin,alpha and omega,Adventure Animation Comedy Family Romance,Kevin Sussman Larry Miller Christine Lakin Anthony Bell Adventure Animation Comedy Family Romance
Jessica Bendinger,Jeff Bridges,Vanessa Lengies,John Patrick Amedori,stick it,Comedy Drama Sport,Jeff Bridges Vanessa Lengies John Patrick Amedori Jessica Bendinger Comedy Drama Sport
Robert Rodriguez,Jimmy Bennett,Leo Howard,Jake Short,shorts,Comedy Family Fantasy,Jimmy Bennett Leo Howard Jake Short Robert Rodriguez Comedy Family Fantasy
Gus Van Sant,Kurtwood Smith,Wayne Knight,Holland Taylor,to die for,Comedy Crime Drama,Kurtwood Smith Wayne Knight Holland Taylor Gus Van Sant Comedy Crime Drama
Henry Joost,Samira Wiley,Marc John Jefferies,Emily Meade,nerve,Adventure Crime Mystery Sci-Fi Thriller,Samira Wiley Marc John Jefferies Emily Meade Henry Joost Adventure Crime Mystery Sci-Fi Thriller
Ed Harris,Viggo Mortensen,James Gammon,Tom Bower,appaloosa,Crime Drama Western,Viggo Mortensen James Gammon Tom Bower Ed Harris Crime Drama Western
John Carpenter,Sheryl Lee,Cary-Hiroyuki Tagawa,Maximilian Schell,vampires,Action Horror Thriller,Sheryl Lee Cary-Hiroyuki Tagawa Maximilian Schell John Carpenter Action Horror Thriller
unknown,Pablo Sevilla,unknown,unknown,yu-gi-oh! duel monsters            ,Action Adventure Animation Family Fantasy,Pablo Sevilla unknown unknown unknown Action Adventure Animation Family Fantasy
Alfred Hitchcock,Janet Leigh,Vera Miles,John Gavin,psycho,Horror Mystery Thriller,Janet Leigh Vera Miles John Gavin Alfred Hitchcock Horror Mystery Thriller
Howard Deutch,Dane Cook,Taran Killam,Riki Lindhome,my best friend's girl,Comedy Romance,Dane Cook Taran Killam Riki Lindhome Howard Deutch Comedy Romance
Shana Feste,Alex Pettyfer,Bruce Greenwood,Rhys Wakefield,endless love,Drama Romance,Alex Pettyfer Bruce Greenwood Rhys Wakefield Shana Feste Drama Romance
Garry Marshall,Hector Elizondo,Zachary Gordon,Jane Fonda,georgia rule,Comedy Drama,Hector Elizondo Zachary Gordon Jane Fonda Garry Marshall Comedy Drama
Steve Rash,Mako,Adam Arkin,Billy Barty,under the rainbow,Comedy,Mako Adam Arkin Billy Barty Steve Rash Comedy
Richard Donner,Matthew Broderick,John Wood,Leo McKern,ladyhawke,Adventure Comedy Drama Fantasy,Matthew Broderick John Wood Leo McKern Richard Donner Adventure Comedy Drama Fantasy
Mark Steven Johnson,Oliver Platt,Jan Hooks,Dana Ivey,simon birch,Comedy Drama Family,Oliver Platt Jan Hooks Dana Ivey Mark Steven Johnson Comedy Drama Family
Mike Binder,Adam Sandler,Don Cheadle,John de Lancie,reign over me,Drama,Adam Sandler Don Cheadle John de Lancie Mike Binder Drama
Sean Penn,Kristen Stewart,William Hurt,Hal Holbrook,into the wild,Adventure Biography Drama,Kristen Stewart William Hurt Hal Holbrook Sean Penn Adventure Biography Drama
Todd Phillips,Jon Heder,Sarah Silverman,Jacinda Barrett,school for scoundrels,Comedy,Jon Heder Sarah Silverman Jacinda Barrett Todd Phillips Comedy
Michael J. Bassett,Radha Mitchell,Deborah Kara Unger,Martin Donovan,silent hill: revelation 3d,Adventure Drama Horror Mystery Thriller,Radha Mitchell Deborah Kara Unger Martin Donovan Michael J. Bassett Adventure Drama Horror Mystery Thriller
Robert Rodriguez,Quentin Tarantino,Salma Hayek,Cheech Marin,from dusk till dawn,Crime Fantasy Horror,Quentin Tarantino Salma Hayek Cheech Marin Robert Rodriguez Crime Fantasy Horror
Frank Nissen,Kath Soucie,Brenda Blethyn,John Fiedler,pooh's heffalump movie,Animation Family Fantasy Mystery,Kath Soucie Brenda Blethyn John Fiedler Frank Nissen Animation Family Fantasy Mystery
Jodie Foster,Robert Downey Jr.,Holly Hunter,Steve Guttenberg,home for the holidays,Comedy Drama Romance,Robert Downey Jr. Holly Hunter Steve Guttenberg Jodie Foster Comedy Drama Romance
Stephen Chow,Shengyi Huang,Chi Ling Chiu,Qiu Yuen,kung fu hustle,Action Comedy Crime Fantasy,Shengyi Huang Chi Ling Chiu Qiu Yuen Stephen Chow Action Comedy Crime Fantasy
unknown,Leah Remini,Mark Feuerstein,Sharon Lawrence,fired up            ,Comedy,Leah Remini Mark Feuerstein Sharon Lawrence unknown Comedy
Peter Hastings,Haley Joel Osment,Alex Rocco,Stephen Root,the country bears,Comedy Family Music Musical,Haley Joel Osment Alex Rocco Stephen Root Peter Hastings Comedy Family Music Musical
Marc Forster,Mustafa Haidari,Shaun Toub,Khalid Abdalla,the kite runner,Drama,Mustafa Haidari Shaun Toub Khalid Abdalla Marc Forster Drama
Alejandro G. Iñárritu,Naomi Watts,Eddie Marsan,Danny Huston,21 grams,Drama,Naomi Watts Eddie Marsan Danny Huston Alejandro G. Iñárritu Drama
Paul Abascal,Cole Hauser,Tom Hollander,Kelly Carlson,paparazzi,Action Crime Drama Thriller,Cole Hauser Tom Hollander Kelly Carlson Paul Abascal Action Crime Drama Thriller
Catherine Hardwicke,Kristen Stewart,Taylor Lautner,Anna Kendrick,twilight,Drama Fantasy Romance,Kristen Stewart Taylor Lautner Anna Kendrick Catherine Hardwicke Drama Fantasy Romance
Chris Koch,Thomas Lennon,Lochlyn Munro,James Brolin,a guy thing,Comedy Romance,Thomas Lennon Lochlyn Munro James Brolin Chris Koch Comedy Romance
Amy Heckerling,Andy Dick,Robert Miano,Zak Orth,loser,Comedy Romance,Andy Dick Robert Miano Zak Orth Amy Heckerling Comedy Romance
Michael Moore,Ronald Reagan,Michael Moore,Bernie Sanders,capitalism: a love story,Crime Documentary News,Ronald Reagan Michael Moore Bernie Sanders Michael Moore Crime Documentary News
George Stevens,Martin Landau,Carroll Baker,José Ferrer,the greatest story ever told,Biography Drama History,Martin Landau Carroll Baker José Ferrer George Stevens Biography Drama History
Billy Ray,Julia Roberts,Michael Kelly,Joe Cole,secret in their eyes,Crime Drama Mystery Thriller,Julia Roberts Michael Kelly Joe Cole Billy Ray Crime Drama Mystery Thriller
Jason Friedberg,Carmen Electra,Tony Cox,Ike Barinholtz,disaster movie,Comedy,Carmen Electra Tony Cox Ike Barinholtz Jason Friedberg Comedy
Nimród Antal,Andrew Fiscella,Fred Ward,Lorna Raver,armored,Action Crime Thriller,Andrew Fiscella Fred Ward Lorna Raver Nimród Antal Action Crime Thriller
Jon Amiel,Bill Murray,Peter Gallagher,Joanne Whalley,the man who knew too little,Action Comedy Crime Thriller,Bill Murray Peter Gallagher Joanne Whalley Jon Amiel Action Comedy Crime Thriller
Mark Mylod,Chris Evans,Ari Graynor,Ed Begley Jr.,what's your number?,Comedy Romance,Chris Evans Ari Graynor Ed Begley Jr. Mark Mylod Comedy Romance
James Mather,Joseph Gilgun,Vincent Regan,Jacky Ido,lockout,Action Adventure Sci-Fi Thriller,Joseph Gilgun Vincent Regan Jacky Ido James Mather Action Adventure Sci-Fi Thriller
Barry Levinson,Amy Poehler,Ariel Gade,Sam Lerner,envy,Comedy,Amy Poehler Ariel Gade Sam Lerner Barry Levinson Comedy
Mark Neveldine,Jason Statham,Clifton Collins Jr.,David Carradine,crank: high voltage,Action Crime Sci-Fi Thriller,Jason Statham Clifton Collins Jr. David Carradine Mark Neveldine Action Crime Sci-Fi Thriller
Woody Allen,Jim Broadbent,Chazz Palminteri,Dianne Wiest,bullets over broadway,Comedy Crime,Jim Broadbent Chazz Palminteri Dianne Wiest Woody Allen Comedy Crime
Michael O. Sajbel,James Callis,Tiffany Dupont,Nimrat Kaur,one night with the king,Biography Drama History,James Callis Tiffany Dupont Nimrat Kaur Michael O. Sajbel Biography Drama History
Phillip Noyce,Brendan Fraser,Tzi Ma,Holmes Osborne,the quiet american,Drama Mystery Romance Thriller War,Brendan Fraser Tzi Ma Holmes Osborne Phillip Noyce Drama Mystery Romance Thriller War
Gore Verbinski,Nicolas Cage,Hope Davis,Michael Rispoli,the weather man,Comedy Drama,Nicolas Cage Hope Davis Michael Rispoli Gore Verbinski Comedy Drama
Walter Hill,Fisher Stevens,Wes Studi,Jon Seda,undisputed,Action Crime Drama Sport,Fisher Stevens Wes Studi Jon Seda Walter Hill Action Crime Drama Sport
David Koepp,Aasif Mandvi,Dequina Moore,Jordan Carlos,ghost town,Comedy Drama Fantasy Romance,Aasif Mandvi Dequina Moore Jordan Carlos David Koepp Comedy Drama Fantasy Romance
Renny Harlin,Taylor Cole,Ashley Scott,Nick Gomez,12 rounds,Action Crime Thriller,Taylor Cole Ashley Scott Nick Gomez Renny Harlin Action Crime Thriller
Matt Reeves,Chloë Grace Moretz,Dylan Minnette,Kodi Smit-McPhee,let me in,Drama Fantasy Horror Mystery,Chloë Grace Moretz Dylan Minnette Kodi Smit-McPhee Matt Reeves Drama Fantasy Horror Mystery
Charles T. Kanganis,Victor Wong,Dustin Nguyen,Don Stark,3 ninjas kick back,Action Comedy Family,Victor Wong Dustin Nguyen Don Stark Charles T. Kanganis Action Comedy Family
Michel Gondry,Quinton Aaron,Mia Farrow,Melonie Diaz,be kind rewind,Comedy,Quinton Aaron Mia Farrow Melonie Diaz Michel Gondry Comedy
Stephen Frears,Bob Hoskins,Christopher Guest,Sarah Solemani,mrs henderson presents,Comedy Drama Music War,Bob Hoskins Christopher Guest Sarah Solemani Stephen Frears Comedy Drama Music War
John Hillcoat,Kate Winslet,Norman Reedus,Clifton Collins Jr.,triple 9,Action Crime Drama Thriller,Kate Winslet Norman Reedus Clifton Collins Jr. John Hillcoat Action Crime Drama Thriller
Woody Allen,Woody Allen,Lynn Cohen,Judy Davis,deconstructing harry,Comedy,Woody Allen Lynn Cohen Judy Davis Woody Allen Comedy
Damon Santostefano,Matthew Perry,Oliver Platt,David Ramsey,three to tango,Comedy Romance,Matthew Perry Oliver Platt David Ramsey Damon Santostefano Comedy Romance
John Wells,Bradley Cooper,Omar Sy,Riccardo Scamarcio,burnt,Comedy Drama,Bradley Cooper Omar Sy Riccardo Scamarcio John Wells Comedy Drama
Neil Jordan,Robert De Niro,Demi Moore,James Russo,we're no angels,Comedy Crime,Robert De Niro Demi Moore James Russo Neil Jordan Comedy Crime
Woody Allen,Natasha Lyonne,Gaby Hoffmann,Jeff DeRocker,everyone says i love you,Comedy Musical Romance,Natasha Lyonne Gaby Hoffmann Jeff DeRocker Woody Allen Comedy Musical Romance
Frank Oz,Peter Dinklage,Ewen Bremner,Kris Marshall,death at a funeral,Comedy,Peter Dinklage Ewen Bremner Kris Marshall Frank Oz Comedy
James Wan,Aisha Tyler,Kelly Preston,Edi Gathegi,death sentence,Action Crime Thriller,Aisha Tyler Kelly Preston Edi Gathegi James Wan Action Crime Thriller
Kirk Jones,Robert De Niro,James Frain,Brendan Sexton III,everybody's fine,Adventure Drama,Robert De Niro James Frain Brendan Sexton III Kirk Jones Adventure Drama
Bob Clark,Scott Baio,Vanessa Angel,Peter Wingfield,superbabies: baby geniuses 2,Comedy Family Sci-Fi,Scott Baio Vanessa Angel Peter Wingfield Bob Clark Comedy Family Sci-Fi
Les Mayfield,Callum Rennie,Will Patton,Cedric the Entertainer,code name: the cleaner,Action Comedy Crime,Callum Rennie Will Patton Cedric the Entertainer Les Mayfield Action Comedy Crime
Michael Lembeck,Debbie Reynolds,Nia Vardalos,Dash Mihok,connie and carla,Comedy Crime Music,Debbie Reynolds Nia Vardalos Dash Mihok Michael Lembeck Comedy Crime Music
Bob Fosse,Sammy Davis Jr.,Ricardo Montalban,Ben Vereen,sweet charity,Comedy Drama Music Musical Romance,Sammy Davis Jr. Ricardo Montalban Ben Vereen Bob Fosse Comedy Drama Music Musical Romance
Paul Thomas Anderson,Martin Dew,Katherine Waterston,Serena Scott Thomas,inherent vice,Comedy Crime Drama Mystery Romance,Martin Dew Katherine Waterston Serena Scott Thomas Paul Thomas Anderson Comedy Crime Drama Mystery Romance
Dave Borthwick,Jimmy Fallon,Kylie Minogue,Jon Stewart,doogal,Adventure Animation Comedy Family Fantasy,Jimmy Fallon Kylie Minogue Jon Stewart Dave Borthwick Adventure Animation Comedy Family Fantasy
Benson Lee,Chris Brown,Caity Lotz,Laz Alonso,battle of the year,Drama Music,Chris Brown Caity Lotz Laz Alonso Benson Lee Drama Music
unknown,LeVar Burton,Eric McCormack,Scott Wolf,perception            ,Crime Drama Mystery Thriller,LeVar Burton Eric McCormack Scott Wolf unknown Crime Drama Mystery Thriller
David Zucker,Chriss Anglin,Geoffrey Arend,Gary Coleman,an american carol,Comedy Fantasy,Chriss Anglin Geoffrey Arend Gary Coleman David Zucker Comedy Fantasy
Robert Rodriguez,Alexa PenaVega,Demián Bichir,Marko Zaror,machete kills,Action Comedy Crime Thriller,Alexa PenaVega Demián Bichir Marko Zaror Robert Rodriguez Action Comedy Crime Thriller
Glen Morgan,Laura Harring,Ty Olsson,Jackie Burroughs,willard,Drama Horror Sci-Fi Thriller,Laura Harring Ty Olsson Jackie Burroughs Glen Morgan Drama Horror Sci-Fi Thriller
Fred Wolf,Kevin Alejandro,Ashley Scott,Jeff Garlin,strange wilderness,Adventure Comedy,Kevin Alejandro Ashley Scott Jeff Garlin Fred Wolf Adventure Comedy
Mike Leigh,Jim Broadbent,Dexter Fletcher,Lesley Manville,topsy-turvy,Biography Comedy Drama History Music Musical,Jim Broadbent Dexter Fletcher Lesley Manville Mike Leigh Biography Comedy Drama History Music Musical
Alejandro Monteverde,Tom Wilkinson,Cary-Hiroyuki Tagawa,Michael Rapaport,little boy,Drama War,Tom Wilkinson Cary-Hiroyuki Tagawa Michael Rapaport Alejandro Monteverde Drama War
David Cronenberg,Michael Fassbender,Viggo Mortensen,Sarah Gadon,a dangerous method,Biography Drama Thriller,Michael Fassbender Viggo Mortensen Sarah Gadon David Cronenberg Biography Drama Thriller
Richard Linklater,Robert Downey Jr.,Keanu Reeves,Rory Cochrane,a scanner darkly,Animation Drama Mystery Sci-Fi Thriller,Robert Downey Jr. Keanu Reeves Rory Cochrane Richard Linklater Animation Drama Mystery Sci-Fi Thriller
Michael Apted,Gerard Butler,Abigail Spencer,Leven Rambin,chasing mavericks,Biography Drama Sport,Gerard Butler Abigail Spencer Leven Rambin Michael Apted Biography Drama Sport
Uwe Boll,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,alone in the dark,Horror Sci-Fi,Catherine Lough Haggquist Darren Shahlavi Karin Konoval Uwe Boll Horror Sci-Fi
Todd Graff,Scott Porter,Charlie Saxton,Ryan Donowho,bandslam,Comedy Drama Family Music Romance,Scott Porter Charlie Saxton Ryan Donowho Todd Graff Comedy Drama Family Music Romance
Jonathan Glazer,Cameron Bright,Anne Heche,Danny Huston,birth,Drama Mystery Romance Thriller,Cameron Bright Anne Heche Danny Huston Jonathan Glazer Drama Mystery Romance Thriller
J.C. Chandor,David Oyelowo,Ashley Williams,Albert Brooks,a most violent year,Action Crime Drama Thriller,David Oyelowo Ashley Williams Albert Brooks J.C. Chandor Action Crime Drama Thriller
Paul Gross,Landon Liboiron,Michael Greyeyes,Caroline Dhavernas,passchendaele,Drama History Romance War,Landon Liboiron Michael Greyeyes Caroline Dhavernas Paul Gross Drama History Romance War
Marc Abraham,Dylan Authors,Bill Lake,Victoria Learn,flash of genius,Biography Drama,Dylan Authors Bill Lake Victoria Learn Marc Abraham Biography Drama
Todd Haynes,Christian Bale,Heath Ledger,Tyrone Benskin,i'm not there.,Biography Drama Music,Christian Bale Heath Ledger Tyrone Benskin Todd Haynes Biography Drama Music
Mabrouk El Mechri,Henry Cavill,Bruce Willis,Óscar Jaenada,the cold light of day,Action Thriller,Henry Cavill Bruce Willis Óscar Jaenada Mabrouk El Mechri Action Thriller
Rian Johnson,Zachary Gordon,Maximilian Schell,Nora Zehetner,the brothers bloom,Adventure Comedy Drama Romance,Zachary Gordon Maximilian Schell Nora Zehetner Rian Johnson Adventure Comedy Drama Romance
Charlie Kaufman,Philip Seymour Hoffman,Jennifer Jason Leigh,Samantha Morton,"synecdoche, new york",Comedy Drama Romance,Philip Seymour Hoffman Jennifer Jason Leigh Samantha Morton Charlie Kaufman Comedy Drama Romance
Hayao Miyazaki,Minnie Driver,Jada Pinkett Smith,Billy Crudup,princess mononoke,Adventure Animation Fantasy,Minnie Driver Jada Pinkett Smith Billy Crudup Hayao Miyazaki Adventure Animation Fantasy
Jean-Paul Rappeneau,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,bon voyage,Comedy Drama Mystery Romance Thriller War,Isabelle Adjani Peter Coyote Virginie Ledoyen Jean-Paul Rappeneau Comedy Drama Mystery Romance Thriller War
Nancy Walker,Steve Guttenberg,Randy Jones,Caitlyn Jenner,can't stop the music,Biography Comedy Musical,Steve Guttenberg Randy Jones Caitlyn Jenner Nancy Walker Biography Comedy Musical
John Hillcoat,Ray Winstone,Noah Taylor,Danny Huston,the proposition,Crime Drama Western,Ray Winstone Noah Taylor Danny Huston John Hillcoat Crime Drama Western
Angelo Pizzo,Donny Boaz,Finn Wittrock,Brent Anderson,courage,Biography Drama Sport,Donny Boaz Finn Wittrock Brent Anderson Angelo Pizzo Biography Drama Sport
Richard Benjamin,Damon Wayans,Jane Krakowski,Paula Garcés,marci x,Comedy Music,Damon Wayans Jane Krakowski Paula Garcés Richard Benjamin Comedy Music
Kurt Wimmer,Christian Bale,Emily Watson,Sean Pertwee,equilibrium,Action Drama Sci-Fi Thriller,Christian Bale Emily Watson Sean Pertwee Kurt Wimmer Action Drama Sci-Fi Thriller
Roger Spottiswoode,Radha Mitchell,Guang Li,Matthew Walker,the children of huang shi,Drama War,Radha Mitchell Guang Li Matthew Walker Roger Spottiswoode Drama War
James Gray,Charlize Theron,Ellen Burstyn,Faye Dunaway,the yards,Crime Drama Romance Thriller,Charlize Theron Ellen Burstyn Faye Dunaway James Gray Crime Drama Romance Thriller
Matthew Diamond,Chazz Palminteri,Garrett Clayton,Toni Braxton,the oogieloves in the big balloon adventure,Adventure Family Fantasy Musical,Chazz Palminteri Garrett Clayton Toni Braxton Matthew Diamond Adventure Family Fantasy Musical
Angelina Jolie Pitt,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,by the sea,Drama Romance,Brad Pitt Angelina Jolie Pitt Melvil Poupaud Angelina Jolie Pitt Drama Romance
Katsuhiro Ôtomo,William Hootkins,Robin Atkin Downes,Rosalind Ayres,steamboy,Action Adventure Animation Family Sci-Fi Thriller,William Hootkins Robin Atkin Downes Rosalind Ayres Katsuhiro Ôtomo Action Adventure Animation Family Sci-Fi Thriller
David Anspaugh,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,the game of their lives,Drama History Sport,Gerard Butler Costas Mandylor Jimmy Jean-Louis David Anspaugh Drama History Sport
Andrew Jarecki,Ryan Gosling,Kirsten Dunst,Frank Langella,all good things,Crime Drama Mystery Romance Thriller,Ryan Gosling Kirsten Dunst Frank Langella Andrew Jarecki Crime Drama Mystery Romance Thriller
Kevin Reynolds,Esai Morales,Jason Scott Lee,Sandrine Holt,rapa nui,Action Adventure Drama History Romance,Esai Morales Jason Scott Lee Sandrine Holt Kevin Reynolds Action Adventure Drama History Romance
Stephen Chow,Jiao Xu,Yuqi Zhang,Chi Chung Lam,cj7,Comedy Family Sci-Fi,Jiao Xu Yuqi Zhang Chi Chung Lam Stephen Chow Comedy Family Sci-Fi
Jean-Marie Poiré,Christian Clavier,Philippe Nahon,Marie-Anne Chazel,les couloirs du temps: les visiteurs ii,Comedy Family Fantasy Sci-Fi,Christian Clavier Philippe Nahon Marie-Anne Chazel Jean-Marie Poiré Comedy Family Fantasy Sci-Fi
Kevin Munroe,Marco St. John,Laura Spencer,Anita Briem,dylan dog: dead of night,Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller,Marco St. John Laura Spencer Anita Briem Kevin Munroe Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller
Daniel Algrant,Al Pacino,Richard Schiff,Mark Webber,people i know,Crime Drama Mystery,Al Pacino Richard Schiff Mark Webber Daniel Algrant Crime Drama Mystery
unknown,Peter Vaughan,George Coulouris,Ewen Solon,the doombolt chase            ,Drama Family,Peter Vaughan George Coulouris Ewen Solon unknown Drama Family
Julie Taymor,Djimon Hounsou,Reeve Carney,Tom Conti,the tempest,Comedy Drama Fantasy Romance,Djimon Hounsou Reeve Carney Tom Conti Julie Taymor Comedy Drama Fantasy Romance
